"cor_name","pearson","spearman","kendall"
"VIINA-SAR",0.204886243667601,0.276416330130059,0.241355095272374
"ACLED-SAR",0.204763980667602,0.251959759983823,0.220762088441431
"VIINA-ACLED",0.498133028521988,0.559817886572221,0.534232339524972
